symbol,direction,qty,entry_date,exit_date,entry_px,exit_px,gross_pnl,exit_reason,hold_days,return_pct
INTC,long,201,2022-12-19,2023-01-10,25.94,28.2,453.54,T2_HIT,22,8.7
IWM,long,134,2022-12-19,2023-01-10,167.46,170.38,391.96,TIME_STOP,22,1.75
INTC,long,401,2022-12-19,2023-01-13,25.94,28.9,1187.09,T3_HIT,25,11.41
XOM,long,60,2022-12-19,2023-01-13,93.68,100.66,419.18,T2_HIT,25,7.46
BAC,long,192,2022-12-12,2023-01-17,29.54,31.72,417.84,T2_HIT,36,7.37
CVX,long,38,2022-12-19,2023-01-19,147.17,152.79,213.68,T2_HIT,31,3.82
XOM,long,121,2022-12-19,2023-01-27,93.68,104.08,1258.85,T3_HIT,39,11.11
BAC,long,383,2022-12-12,2023-02-03,29.54,32.94,1299.28,T3_HIT,53,11.48
LLY,long,71,2023-01-23,2023-02-03,337.33,324.04,-943.89,STOP_LOSS,11,-3.94
LMT,long,15,2023-01-17,2023-02-07,410.13,430.4,303.98,T1_HIT,21,4.94
LLY,long,19,2023-02-03,2023-02-10,324.04,334.08,190.83,T1_HIT,7,3.1
PFE,long,659,2023-01-20,2023-02-13,36.83,35.85,-642.69,TIME_STOP,24,-2.65
LMT,long,15,2023-01-17,2023-02-14,410.13,439.42,439.23,T2_HIT,28,7.14
GOOGL,long,62,2023-02-23,2023-03-07,91.11,94.15,188.05,T1_HIT,12,3.33
NFLX,long,674,2023-02-24,2023-03-10,31.93,29.79,-1442.36,STOP_LOSS,14,-6.7
CVX,long,78,2022-12-19,2023-03-14,147.17,138.12,-705.23,STOP_LOSS,85,-6.14
LLY,long,56,2023-02-03,2023-03-14,324.04,316.39,-427.92,POST_T1_STOP,39,-2.36
BAC,long,846,2023-03-13,2023-03-16,26.62,26.12,-420.44,STOP_LOSS,3,-1.87
GOOGL,long,62,2023-02-23,2023-03-17,91.11,99.38,512.54,T2_HIT,22,9.07
GOOGL,long,124,2023-02-23,2023-03-20,91.11,99.24,1007.86,T3_HIT,25,8.92
MU,long,102,2023-03-03,2023-03-22,55.62,57.53,194.93,T1_HIT,19,3.44
PFE,long,722,2023-03-01,2023-03-23,33.29,32.97,-231.14,TIME_STOP,22,-0.96
MU,long,102,2023-03-03,2023-03-24,55.62,59.61,406.94,T2_HIT,21,7.17
MU,long,206,2023-03-03,2023-03-30,55.62,63.08,1536.18,T3_HIT,27,13.41
SBUX,long,64,2023-03-20,2023-04-03,91.48,96.06,293.04,T1_HIT,14,5.01
XOM,long,62,2023-03-14,2023-04-04,95.38,104.26,551.02,T1_HIT,21,9.32
CVX,long,42,2023-03-14,2023-04-04,138.12,149.37,472.13,T1_HIT,21,8.14
XOM,long,62,2023-03-14,2023-04-05,95.38,103.45,500.43,T2_HIT,22,8.46
BAC,long,809,2023-03-16,2023-04-10,26.12,25.47,-528.62,TIME_STOP,25,-2.5
CVX,long,42,2023-03-14,2023-04-14,138.12,150.55,521.99,T2_HIT,31,9.0
SBUX,long,64,2023-03-20,2023-04-14,91.48,98.69,461.42,T2_HIT,25,7.88
LMT,long,29,2023-01-17,2023-04-19,410.13,460.1,1449.05,T3_HIT,92,12.18
BA,long,32,2023-04-17,2023-04-20,202.0,207.42,173.44,T1_HIT,3,2.68
SBUX,long,130,2023-03-20,2023-04-26,91.48,100.63,1189.26,T3_HIT,37,10.0
XOM,long,123,2023-03-14,2023-05-01,95.38,104.02,1063.38,T3_HIT,48,9.06
IWM,long,39,2023-05-05,2023-05-19,166.81,171.83,195.96,T1_HIT,14,3.01
BA,long,95,2023-04-17,2023-05-22,202.0,205.51,333.45,POST_T1_STOP,35,1.74
CAT,long,126,2023-04-28,2023-05-22,203.43,204.4,121.4,TIME_STOP,24,0.47
NKE,long,224,2023-05-15,2023-05-23,112.2,102.79,-2107.95,STOP_LOSS,8,-8.39
PFE,long,203,2023-05-12,2023-05-24,31.21,33.27,419.41,T1_HIT,12,6.62
QCOM,long,64,2023-05-05,2023-05-30,100.69,106.54,374.57,T1_HIT,25,5.81
QCOM,long,64,2023-05-05,2023-05-31,100.69,106.4,365.55,T2_HIT,26,5.67
IWM,long,39,2023-05-05,2023-06-07,166.81,178.53,457.33,T2_HIT,33,7.03
QCOM,long,128,2023-05-05,2023-06-12,100.69,113.41,1628.16,T3_HIT,38,12.63
NKE,long,62,2023-05-25,2023-06-15,101.46,105.06,223.4,T1_HIT,21,3.55
SBUX,long,70,2023-06-01,2023-06-16,90.54,94.64,287.04,T1_HIT,15,4.53
ABBV,long,210,2023-05-31,2023-06-22,121.82,122.3,99.25,TIME_STOP,22,0.39
PFE,long,609,2023-05-12,2023-06-23,31.21,32.12,555.84,POST_T1_STOP,42,2.92
MS,long,86,2023-06-26,2023-07-05,75.94,78.11,186.8,T1_HIT,9,2.86
IWM,long,77,2023-05-05,2023-07-13,166.81,185.82,1464.08,T3_HIT,69,11.4
